,countries,agegroup,rate,prop
1,Afghanistan,5~14,0.336707171,0.620177827
2,Afghanistan,15~49,9.717103207,17.8978426
3,Afghanistan,50~69,19.89280871,36.64038053
4,Afghanistan,70+,24.34541725,44.84159904
5,Albania,5~14,0.66847959,3.005679156
6,Albania,15~49,6.64245516,29.86641523
7,Albania,50~69,5.922706514,26.63021545
8,Albania,70+,9.00690923,40.49769016
9,Algeria,5~14,0.522156276,2.616409561
10,Algeria,15~49,7.086779818,35.51028555
11,Algeria,50~69,4.56998389,22.89917806
12,Algeria,70+,7.778057854,38.97412683
13,American Samoa,5~14,0.499517694,1.696257963
14,American Samoa,15~49,9.095581811,30.88669981
15,American Samoa,50~69,7.687827016,26.10625798
16,American Samoa,70+,12.16528863,41.31078425
17,Andean Latin America,5~14,0.854814318,3.121894792
18,Andean Latin America,15~49,7.692768225,28.09500562
19,Andean Latin America,50~69,8.256430481,30.15357463
20,Andean Latin America,70+,10.57725299,38.62952496
21,Andorra,5~14,0.141306253,0.347948847
22,Andorra,15~49,13.87991829,34.17755032
23,Andorra,50~69,13.70295282,33.74179515
24,Andorra,70+,12.88703719,31.73270569
25,Angola,5~14,0.744661635,0.701688075
26,Angola,15~49,9.822585508,9.255735473
27,Angola,50~69,32.36512459,30.49737073
28,Angola,70+,63.19193937,59.54520573
29,Antigua and Barbuda,5~14,0.084481264,0.627080439
30,Antigua and Barbuda,15~49,3.3617539,24.9533447
31,Antigua and Barbuda,50~69,3.740079392,27.76154741
32,Antigua and Barbuda,70+,6.285842946,46.65802745
33,Argentina,5~14,0.765260065,1.320825449
34,Argentina,15~49,13.94678789,24.07191126
35,Argentina,50~69,17.39784027,30.02836714
36,Argentina,70+,25.82812815,44.57889615
37,Armenia,5~14,0.237049292,0.642834743
38,Armenia,15~49,6.065536594,16.44863657
39,Armenia,50~69,10.10837569,27.41208392
40,Armenia,70+,20.46465767,55.49644477
41,Australasia,5~14,0.448547675,0.937707481
42,Australasia,15~49,17.3459809,36.26249107
43,Australasia,50~69,14.69661082,30.72387327
44,Australasia,70+,15.34335951,32.07592818
45,Australia,5~14,0.360010475,0.75214909
46,Australia,15~49,17.04183988,35.60453168
47,Australia,50~69,14.7887736,30.89733045
48,Australia,70+,15.67361993,32.74598877
49,Austria,5~14,0.436962108,0.498593517
