"","Countries","Year","sr"
"2241","Greenland",1990,13.88712255
"5405","Sri Lanka",1990,5.809626605
"2297","Guam",1990,3.980226712
"4229","Northern Mariana Islands",1990,3.908552122
"1233","Chile",1990,3.717517576
"5069","Slovenia",1990,3.502820078
"5013","Singapore",1990,3.340757242
"3585","Marshall Islands",1990,3.241914638
"2017","Finland",1990,3.119325635
"1457","Cuba",1990,3.112267549
"2242","Greenland",1991,13.28883482
"5406","Sri Lanka",1991,5.665605955
"4230","Northern Mariana Islands",1991,3.901261265
"2298","Guam",1991,3.901240156
"1234","Chile",1991,3.594662415
"5070","Slovenia",1991,3.514248868
"5014","Singapore",1991,3.360137126
"5490","Suriname",1991,3.231765479
"3586","Marshall Islands",1991,3.189796234
"3278","Lithuania",1991,3.127908303
"2243","Greenland",1992,12.76402754
"5407","Sri Lanka",1992,5.77278857
"4231","Northern Mariana Islands",1992,3.83666308
"2299","Guam",1992,3.825698163
"5071","Slovenia",1992,3.542199677
"1235","Chile",1992,3.455385943
"5015","Singapore",1992,3.363105879
"5491","Suriname",1992,3.3260419
"3279","Lithuania",1992,3.311222276
"4679","Russia",1992,3.252030242
"2244","Greenland",1993,12.39225592
"5408","Sri Lanka",1993,5.96563677
"2300","Guam",1993,3.775916466
"4232","Northern Mariana Islands",1993,3.761487193
"3280","Lithuania",1993,3.629954939
"5072","Slovenia",1993,3.604539173
"4680","Russia",1993,3.515887142
"5492","Suriname",1993,3.412137176
"1236","Chile",1993,3.405659128
"5016","Singapore",1993,3.317852552
"2245","Greenland",1994,12.09621895
"5409","Sri Lanka",1994,6.128129976
"3281","Lithuania",1994,3.933022405
"2301","Guam",1994,3.698445099
"4233","Northern Mariana Islands",1994,3.690467062
"4681","Russia",1994,3.668907446
"5073","Slovenia",1994,3.581247983
"5493","Suriname",1994,3.450574569
"5017","Singapore",1994,3.305881769
"1237","Chile",1994,3.283920828
"2246","Greenland",1995,11.78680429
"5410","Sri Lanka",1995,5.994647268
"3282","Lithuania",1995,4.094519442
"4682","Russia",1995,3.681159042
"2302","Guam",1995,3.680280204
"4234","Northern Mariana Islands",1995,3.64215114
"5074","Slovenia",1995,3.468272612
"5494","Suriname",1995,3.393883283
"5018","Singapore",1995,3.297822686
"1714","Eastern Europe",1995,3.273777235
"2247","Greenland",1996,11.62079134
"5411","Sri Lanka",1996,6.07693156
"3283","Lithuania",1996,4.164797021
"4235","Northern Mariana Islands",1996,3.644432363
"2303","Guam",1996,3.618746843
"4683","Russia",1996,3.568648647
"5075","Slovenia",1996,3.48828963
"5495","Suriname",1996,3.29055486
"3591","Marshall Islands",1996,3.242283896
"5019","Singapore",1996,3.23743828
"2248","Greenland",1997,11.50232951
"5412","Sri Lanka",1997,6.230262371
"3284","Lithuania",1997,4.164143971
"4236","Northern Mariana Islands",1997,3.688621524
"5076","Slovenia",1997,3.512147893
"2304","Guam",1997,3.498820604
"4684","Russia",1997,3.421235907
"5496","Suriname",1997,3.332227805
"5020","Singapore",1997,3.281927577
"3592","Marshall Islands",1997,3.223720163
"2249","Greenland",1998,11.30130969
"5413","Sri Lanka",1998,6.083431382
"3285","Lithuania",1998,4.169595953
"4237","Northern Mariana Islands",1998,3.749543826
"5077","Slovenia",1998,3.50005423
"2417","Guyana",1998,3.429063584
"2305","Guam",1998,3.400864205
"4685","Russia",1998,3.383468964
"5217","South Korea",1998,3.358672373
"5497","Suriname",1998,3.348101056
"2250","Greenland",1999,11.04510726
"5414","Sri Lanka",1999,6.068082345
"3286","Lithuania",1999,4.187869953
"4238","Northern Mariana Islands",1999,3.71139575
"5218","South Korea",1999,3.494053777
"5078","Slovenia",1999,3.448840942
"4686","Russia",1999,3.420212442
"5498","Suriname",1999,3.379201343
"2418","Guyana",1999,3.378597434
"2306","Guam",1999,3.311079103
"2251","Greenland",2000,10.79580253
"5415","Sri Lanka",2000,5.87221009
"3287","Lithuania",2000,4.214115466
"4239","Northern Mariana Islands",2000,3.699237722
"5219","South Korea",2000,3.663635233
"5079","Slovenia",2000,3.435946543
"4687","Russia",2000,3.419876628
"2951","Kazakhstan",2000,3.419365659
"5499","Suriname",2000,3.39308503
"2531","High-income Asia Pacific",2000,3.325922523
"2252","Greenland",2001,10.65107195
"5416","Sri Lanka",2001,5.727823242
"3288","Lithuania",2001,4.105929033
"5220","South Korea",2001,3.978270165
"4240","Northern Mariana Islands",2001,3.788058682
"2952","Kazakhstan",2001,3.582029994
"5500","Suriname",2001,3.517651425
"5080","Slovenia",2001,3.434316233
"2532","High-income Asia Pacific",2001,3.396811226
"4688","Russia",2001,3.339075008
"2253","Greenland",2002,10.47508581
"5417","Sri Lanka",2002,5.565290375
"5221","South Korea",2002,4.355655939
"3289","Lithuania",2002,3.981713197
"2953","Kazakhstan",2002,3.622287002
"4241","Northern Mariana Islands",2002,3.577754467
"5501","Suriname",2002,3.48610874
"2533","High-income Asia Pacific",2002,3.462622826
"5081","Slovenia",2002,3.343015932
"2421","Guyana",2002,3.291223907
"2254","Greenland",2003,10.26828139
"5418","Sri Lanka",2003,5.394651121
"5222","South Korea",2003,4.823993531
"3290","Lithuania",2003,3.774044265
"2954","Kazakhstan",2003,3.704201171
"5502","Suriname",2003,3.620130913
"2534","High-income Asia Pacific",2003,3.553723455
"2422","Guyana",2003,3.483581278
"4242","Northern Mariana Islands",2003,3.416490012
"5082","Slovenia",2003,3.294856814
"2255","Greenland",2004,10.29478256
"5223","South Korea",2004,5.173550734
"5419","Sri Lanka",2004,3.909121363
"2955","Kazakhstan",2004,3.832366729
"5503","Suriname",2004,3.67897903
"3291","Lithuania",2004,3.618169144
"2535","High-income Asia Pacific",2004,3.548529173
"2423","Guyana",2004,3.547401978
"5643","Taiwan",2004,3.337965066
"3599","Marshall Islands",2004,3.229745008
"2256","Greenland",2005,10.20552427
"5224","South Korea",2005,5.45841551
"5420","Sri Lanka",2005,4.925961766
"2956","Kazakhstan",2005,3.86142687
"5504","Suriname",2005,3.686953752
"2536","High-income Asia Pacific",2005,3.533492247
"2424","Guyana",2005,3.523557103
"5644","Taiwan",2005,3.513534471
"3292","Lithuania",2005,3.510444114
"436","Bahrain",2005,3.25061475
"2257","Greenland",2006,10.08526415
"5225","South Korea",2006,5.611721127
"5421","Sri Lanka",2006,4.545784355
"2957","Kazakhstan",2006,3.862712986
"5505","Suriname",2006,3.775455313
"2425","Guyana",2006,3.603575673
"5645","Taiwan",2006,3.555500567
"2537","High-income Asia Pacific",2006,3.485797455
"3293","Lithuania",2006,3.364388446
"437","Bahrain",2006,3.264530905
"2258","Greenland",2007,9.821508763
"5226","South Korea",2007,5.913781283
"5422","Sri Lanka",2007,4.359857523
"5506","Suriname",2007,3.887908847
"2958","Kazakhstan",2007,3.776642452
"2426","Guyana",2007,3.557639151
"2538","High-income Asia Pacific",2007,3.474076795
"5646","Taiwan",2007,3.425285466
"438","Bahrain",2007,3.407329589
"3294","Lithuania",2007,3.337454108
"2259","Greenland",2008,9.706768884
"5227","South Korea",2008,6.237713713
"5423","Sri Lanka",2008,3.979937938
"5507","Suriname",2008,3.978559082
"2959","Kazakhstan",2008,3.648495454
"2427","Guyana",2008,3.530813679
"2539","High-income Asia Pacific",2008,3.454637776
"439","Bahrain",2008,3.427269467
"4639","Qatar",2008,3.323103738
"5647","Taiwan",2008,3.293541476
"2260","Greenland",2009,9.573840896
"5228","South Korea",2009,6.569037647
"5508","Suriname",2009,4.005314833
"5424","Sri Lanka",2009,3.672937278
"2428","Guyana",2009,3.589471159
"4640","Qatar",2009,3.555786327
"2960","Kazakhstan",2009,3.513846542
"2540","High-income Asia Pacific",2009,3.461791922
"440","Bahrain",2009,3.382208628
"6040","United Arab Emirates",2009,3.171248396
"2261","Greenland",2010,9.449191721
"5229","South Korea",2010,6.613683688
"5509","Suriname",2010,3.945551551
"4641","Qatar",2010,3.876879589
"2429","Guyana",2010,3.691720315
"5425","Sri Lanka",2010,3.557283984
"2961","Kazakhstan",2010,3.455698216
"2541","High-income Asia Pacific",2010,3.372371318
"441","Bahrain",2010,3.184967217
"3605","Marshall Islands",2010,3.111463758
"2262","Greenland",2011,9.176565322
"5230","South Korea",2011,6.50234005
"4642","Qatar",2011,4.053467337
"5510","Suriname",2011,3.907736423
"5426","Sri Lanka",2011,3.803471033
"2430","Guyana",2011,3.669235824
"2962","Kazakhstan",2011,3.395019544
